name,id,nametype,recclass,mass,fall,year,reclat,reclong,point coordinates
Johnstown,12198,1,Diogenite,40300.0,Fell,1924-01-01,40.35,-104.9,"[40.35, -104.9]"
Jolomba,12199,1,LL6,483.0,Fell,1974-01-01,-11.85,15.83333,"[-11.85, 15.83333]"
Jonzac,12202,1,Eucrite-mmict,5000.0,Fell,1819-01-01,45.43333,-0.45,"[45.43333, -0.45]"
Juancheng,12203,1,H5,100000.0,Fell,1997-01-01,35.5,115.41667,"[35.5, 115.41667]"
Judesegeri,12207,1,H6,680.0,Fell,1876-01-01,12.85,76.8,"[12.85, 76.8]"
Jumapalo,12209,1,L6,32490.0,Fell,1984-01-01,-7.71667,111.2,"[-7.71667, 111.2]"
Junan,12210,1,L6,950.0,Fell,1976-01-01,35.2,118.8,"[35.2, 118.8]"
Juromenha,12213,1,"Iron, IIIAB",25250.0,Fell,1968-01-01,38.74028,-7.27,"[38.74028, -7.27]"
Juvinas,12214,1,Eucrite-mmict,91000.0,Fell,1821-01-01,44.71667,4.3,"[44.71667, 4.3]"
Kaba,12218,1,CV3,3000.0,Fell,1857-01-01,47.35,21.3,"[47.35, 21.3]"
Kabo,12220,1,H4,13400.0,Fell,1971-01-01,11.85,8.21667,"[11.85, 8.21667]"
Kadonah,12221,1,H6,89.0,Fell,1822-01-01,27.08333,78.33333,"[27.08333, 78.33333]"
Kaee,12222,1,H5,230.0,Fell,1838-01-01,27.25,79.96667,"[27.25, 79.96667]"
Kagarlyk,12227,1,L6,1900.0,Fell,1908-01-01,49.86667,30.83333,"[49.86667, 30.83333]"
Kaidun,12228,1,CR2,2000.0,Fell,1980-01-01,15.0,48.3,"[15.0, 48.3]"
Kainsaz,12229,1,CO3.2,200000.0,Fell,1937-01-01,55.43333,53.25,"[55.43333, 53.25]"
Kakangari,12230,1,K3,350.0,Fell,1890-01-01,12.38333,78.51667,"[12.38333, 78.51667]"
Kakowa,12231,1,L6,577.0,Fell,1858-01-01,45.13333,21.66667,"[45.13333, 21.66667]"
Kalaba,12232,1,H4,950.0,Fell,1951-01-01,-6.83333,29.5,"[-6.83333, 29.5]"
Kalumbi,12236,1,L6,4500.0,Fell,1879-01-01,17.83333,73.98333,"[17.83333, 73.98333]"
Kamalpur,12238,1,L6,2770.0,Fell,1942-01-01,26.03333,81.46667,"[26.03333, 81.46667]"
Kamiomi,12240,1,H5,448.0,Fell,1913-01-01,36.04167,139.95667,"[36.04167, 139.95667]"
Kamsagar,12241,1,L6,1293.0,Fell,1902-01-01,14.18333,75.8,"[14.18333, 75.8]"
Kandahar (Afghanistan),12243,1,L6,299.0,Fell,1959-01-01,31.6,65.78333,"[31.6, 65.78333]"
Kangean,12245,1,H5,1630.0,Fell,1908-01-01,-7.0,115.5,"[-7.0, 115.5]"
Kangra Valley,12246,1,H5,400.0,Fell,1897-01-01,32.08333,76.3,"[32.08333, 76.3]"
Kapoeta,12251,1,Howardite,11355.0,Fell,1942-01-01,4.7,33.63333,"[4.7, 33.63333]"
Kaprada,47357,1,L5/6,1600.0,Fell,2004-01-01,20.33916,73.22329,"[20.33916, 73.22329]"
